clf__alpha,tfidf__max_features,tfidf__ngram_range,cv_f1_mean,cv_f1_std
0.3,10000,"(3, 5)",0.9897,0.0145
0.3,10000,"(2, 5)",0.9897,0.0145
0.7,20000,"(3, 5)",0.9897,0.0145
0.7,15000,"(2, 5)",0.9897,0.0145
0.7,15000,"(3, 5)",0.9897,0.0145
0.7,10000,"(2, 5)",0.9897,0.0145
0.7,10000,"(3, 5)",0.9897,0.0145
0.5,20000,"(2, 5)",0.9897,0.0145
0.5,20000,"(3, 5)",0.9897,0.0145
0.5,15000,"(2, 5)",0.9897,0.0145
0.5,15000,"(3, 5)",0.9897,0.0145
0.5,10000,"(2, 5)",0.9897,0.0145
0.5,10000,"(3, 5)",0.9897,0.0145
0.3,20000,"(2, 5)",0.9897,0.0145
0.3,20000,"(3, 5)",0.9897,0.0145
0.3,15000,"(2, 5)",0.9897,0.0145
0.3,15000,"(3, 5)",0.9897,0.0145
0.7,20000,"(2, 5)",0.9897,0.0145
